sentence,id,processed_sentences,cluster_label
Patricia is recommending a fair-trade brand to Elle and Florence,278_0,patricia recommending fair trade brand elle florence,0
Lucy is panicking because her daughter is 15 now and she is not sure she is prepared as a mother,283_0,lucy panicking daughter prepared mother,0
" Jamie was sick a lot last year but he got better thanks to doctor Tornez at City Medical Centre, next to the mall",287_1,jamie sick lot year doctor tornez city medical centre mall,59
Tim does not need mum for anything important at the moment,288_0,tim mum moment,0
"Nestor wanted to buy a laptop on Black Friday sales, but Olaf advise against it, as the prices in reality are not reduced",291_0,nestor wanted buy laptop black friday sales olaf advise prices reality reduced,43
 Nestor will check it if Olaf helps him to get a good deal from a guy he knows,291_1,nestor check olaf helps good deal guy,16
"Nancy asks Vic and Phil about various social media, which prompts them to discuss and compare the different platforms",292_0,nancy asks vic phil social media prompts discuss compare platforms,40
James will pick up the car after his work tomorrow,294_0,james pick car work tomorrow,13
They are going to do some research on holiday options and discuss them later,301_0,holiday options discuss,40
"Del accused Stanley of having an affair, because he couldn't go with her this weekend due to his work",302_0,del accused stanley affair weekend work,1
" Division of tasks is on Stanley, because Alison is unreachable",302_3,division tasks stanley alison unreachable,0
 Jake has been working there for 5 years,304_1,jake working years,2
" Kate will send a message to Tim tomorrow, to ask about the place where she should be waiting for him",309_1,kate send message tim tomorrow place waiting,13
Ahmed wants Sharon to move in with him but she's afraid of her parents' reaction,310_0,ahmed sharon afraid parents reaction,0
 Tom suggests he should get a girlfriend instead of complaining about the memes,311_1,tom suggests girlfriend complaining memes,66
 Josh doesn't want to negotiate the price,315_1,josh negotiate price,0
Mike wants someone else to do the washing up this time,316_0,mike washing time,17
" Sara agrees, but when she returns from the cinema she is at with Jack",316_1,sara agrees returns cinema jack,69
 Bella plans to order some pizza home,330_1,bella plans order pizza,55
 Madeline will explain her issues with Martin and Jada to Alex,334_2,madeline explain issues martin jada alex,0
Maria suggests to meet after the IMF lecture to discuss the presentation which is due on Monday,337_0,maria suggests meet imf lecture discuss presentation monday,40
 Clint and Ronnie agree that environment protection depends on the government,342_2,clint ronnie agree environment protection depends government,24
 She is at work,343_1,work,1
 Jane didn't think Sally should share it with others as Natalie told them that in confidence,344_1,jane sally share natalie told confidence,61
Sophie accepts some quince from Noah,350_0,sophie accepts quince noah,0
 Noah has left the quince in a basket on his terrace and the twins can pick it up any time,350_1,noah left quince basket terrace twins pick time,17
 He is still single but reportedly not gay,350_4,single reportedly gay,0
 Benson is currently discussing a contract with a new client in Per and he wants to organize their work remotely,357_3,benson discussing contract client organize work remotely,1
"Jane thinks Den's mum needs to get out more, so Den suggests to invite her for tea, fish and chips on Friday after work",358_0,jane thinks den mum den suggests invite tea fish chips friday work,61
Chandler asks Phoebe to open the door and pay the delivery guy standing outside his door,360_0,chandler asks phoebe open door pay delivery guy standing door,18
Russ received David's report but hasn't read it yet,362_0,russ received david report read,53
 Jake is complaining that Sony Music tried to appropriate his own music,371_1,jake complaining sony music music,0
 Stella wants to take Sandra to the cinema for some action movie when she recovers,374_2,stella sandra cinema action movie recovers,22
Harley and Ruby are discussing the divorce filing,375_0,harley ruby discussing divorce filing,0
 Harley and Ruby agree there are always two sides,375_1,harley ruby agree sides,24
Ken feels stressed because of work and fighting with Brad,376_0,ken feels stressed work fighting brad,1
Addisyn hasn't talked to Dexter for a long time and he thinks she doesn't love him anymore,378_0,addisyn talked dexter long time thinks love,60
" It's too hot for Celia, she suggests Croatia instead",382_1,hot celia suggests croatia,27
 Paola thinks Charlie Puth is attractive,383_1,paola thinks charlie puth attractive,12
 Rita decides to go and chcek if the situation's changed tomorrow and she'll let everyone know,389_1,rita decides chcek situation changed tomorrow,13
 He thinks it will be a better deal than keeping savings in the bank,390_2,thinks deal keeping savings bank,16
Rael finds the atmosphere at her workplace to be unbearable,399_0,rael finds atmosphere workplace unbearable,0
 Rael only needs good analytical skills and an on-line course to start work in IT,399_2,rael good analytical skills start work,63
"Euodia didn't know about TikTok application, so Domigo explained what it was",402_0,euodia tiktok application domigo explained,0
"Nathalie, Pauline, Jacob and Anthony are thinking about spending holidays in Greece together in August",404_0,nathalie pauline jacob anthony thinking spending holidays greece august,6
 He thinks the U,413_1,thinks,12
 should not accept them,413_3,accept,0
 Kate and Mary do not share this opinion,413_4,kate mary share opinion,0
 They are having second thoughts about their friendship,413_5,thoughts friendship,0
Miranda can't make her meeting with Stephanie as she has to work,417_0,miranda meeting stephanie work,26
Raymond can't decide whether he wants pizza or pasta,419_0,raymond decide pizza pasta,28
Adam is complaining about going to the gym,425_0,adam complaining gym,0
Diana and Fran are going to a hip-hop workshop in a week,427_0,diana fran hip hop workshop week,50
 Dot suggests there is a way to get it back,428_1,dot suggests,27
 The attacker wore a mask,429_1,attacker wore mask,0
" Truman and Rodney think the campus security is subpar, even though there are cameras around",429_3,truman rodney campus security subpar cameras,0
 Javier decided to have a tatoo done in Colombia,432_1,javier decided tatoo colombia,48
Marsha and John planned the trip,434_0,marsha john planned trip,0
 Ethel recommends her dry-cleaner at Jagielonska 3,436_1,ethel recommends dry cleaner jagielonska,9
Levy hasn't taken the trash out because parents didn't ask him,443_0,levy trash parents,0
" Just like last week, Lindsey has asked a classmate to fake her signature on the attendance list",445_2,week lindsey asked classmate fake signature attendance list,50
 Jason has been working on a movie with Lucy for the past two months,446_2,jason working movie lucy months,2
" Now he'd like to ask Kelly, Michelle's best friend, out",447_1,kelly michelle friend,0
Reeve has no plans for the winter break,448_0,reeve plans winter break,55
 Dodson and Trish are thinking of going to the seaside somewhere near for 3/4 nights,448_2,dodson trish thinking seaside nights,6
 Harry can't afford to do it at the moment,454_1,harry afford moment,0
"Randal is buying nail polish for Sidney in the store, and she's explaining to him which pink she wants",455_0,randal buying nail polish sidney store explaining pink,0
"Pat is interested in baseball and hockey, he doesn't know much about basketball anymore",456_0,pat interested baseball hockey basketball,0
 He plans to play basketball with Mike one day,456_1,plans play basketball mike day,67
 Nate is having problems with the registration system so he has to deal with it himself,457_1,nate problems registration deal,16
 They need to make the base and prepare everything earlier,463_1,base prepare earlier,49
 James doesn't think there will be a conference in Hawaii soon due to the high cost of travel,464_2,james conference hawaii high cost travel,0
 Derek asks Judy to feed his animals on Friday and Saturday,468_1,derek asks judy feed animals friday saturday,18
 Judy agrees,468_2,judy agrees,69
Walker and Booker plan to play games all night,473_0,walker booker plan play games night,20
Linda refuses to accept plants for her garden from Mika,479_0,linda refuses accept plants garden mika,0
 She would not be able to plant them before leaving,479_1,plant leaving,0
" Marenda thinks that he got out of it because he became angry, as he is short-tempered",480_1,marenda thinks angry short tempered,12
 Greg suggests her to call Linda or ask someone at the reception about it,481_2,greg suggests linda reception,27
 Rob and Susan will have dinner together after Rob's work,485_1,rob susan dinner rob work,1
 Debbie will bring it to Helen's work,493_1,debbie bring helen work,1
Jessica's plant is withering,494_0,jessica plant withering,0
 She doesn't know what plant it is,494_1,plant,0
John and Annie are moving to London because he lost his job in Germany and found a better offer working in IT here,495_0,john annie moving london lost job germany offer working,2
 Erin offers her place but Amber plans on staying with John and Annie,495_3,erin offers place amber plans staying john annie,55
Keira wonders why wildangel plays in the wrong order,498_0,keira wonders wildangel plays wrong order,0
 They will meet at 6 PM at her house to prepare for the evening,502_2,meet house prepare evening,49
 She asks Marco to bring it over,509_1,asks marco bring,18
Mum will prepare something to snack on for Steve,510_0,mum prepare snack steve,49
 They agree for James to pick Hannah up on Saturday at 8,512_1,agree james pick hannah saturday,24
 Booth has been there before and recommends wearing something casual,519_1,booth recommends wearing casual,9
 She will try to plan her meals better,524_1,plan meals,20
"Jeff, Peter and Miranda wonder what American and global economy will be like",526_0,jeff peter miranda american global economy,0
Alexa asked Ethan to insult Hunter out of jealousy,527_0,alexa asked ethan insult hunter jealousy,23
 Sara advises him to check if they have a gift list,539_1,sara advises check gift list,35
 They both think it's a shame they discontinued Daredevil,541_1,shame discontinued daredevil,0
Geri and Hilary will go to check out some sexy heels for Geri tomorrow after work,542_0,geri hilary check sexy heels geri tomorrow work,13
Top management of the company where Jacob and Alex work is coming from France next week,543_0,management company jacob alex work coming france week,50
"Jenny, Jeremy and Joan are going to a concert on Saturday and agree to have a drink at Barcelona located at 8th avenue beforehand",545_0,jenny jeremy joan concert saturday agree drink barcelona located avenue,24
"Steve and Rob will talk about new Dream Theater album, after they finish listening",548_0,steve rob talk dream theater album finish listening,44
Andy is going to work late so he won't see Sue before 8,553_0,andy work late sue,1
Blair and Chuck are going to meet the wedding planner after work at Nonna Rita's,558_0,blair chuck meet wedding planner work nonna rita,1
 They'll meet in the car park after Steve finishes work,563_1,meet car park steve finishes work,1
 Inga will be back from work today at 6 p,573_2,inga work today,41
" She gives some hints so that he doesn't look like a waiter and recommends wearing black pants, a white shirt and brown shoes",578_1,hints waiter recommends wearing black pants white shirt brown shoes,9
Michelle and Josh's plan to go to the movies tomorrow night is still valid,582_0,michelle josh plan movies tomorrow night valid,20
 Sophie is thinking of breaking up with her boyfriend before Uni,583_1,sophie thinking breaking boyfriend uni,6
 Robin will read up on strategies for the game on sites recommended by Jacks,585_1,robin read strategies game sites recommended jacks,0
Sergio needed a long time to prepare a speech for Ulrich's wedding,586_0,sergio needed long time prepare speech ulrich wedding,60
" Lauren's stressed about it, because their boss is coming with them",587_1,lauren stressed boss coming,0
 Kate think it's going to be ok,587_2,kate,0
" Noah would like to go too, but he might have to stay late at work",590_2,noah stay late work,1
" Zandra is taking care of the decorations, Tricia of the food and a company of the outside attractions",593_2,zandra care decorations tricia food company attractions,0
 Paul will be home later than he thought,596_1,paul thought,4
Ross wants to do karaoke,601_0,ross karaoke,0
 Three people came to listen to them,604_1,people listen,21
 Kyle is leaving school at Easter to work for his uncle,606_1,kyle leaving school easter work uncle,1
 Tony thinks that the coach is good despite he's annoying,610_1,tony thinks coach good annoying,8
 Nate is at work and will call Jill when he finishes it,615_1,nate work jill finishes,1
" Rosemary doesn't have a working laptop, whereas Victoria's tablet doesn't have enough memory for recording",617_1,rosemary working laptop victoria tablet memory recording,2
Maria wants to work as a freelancer,624_0,maria work freelancer,1
 Joe has some good ideas and tips on where to start,625_1,joe good ideas tips start,38
JP doesn't want to play because it's time to go to work,630_0,jp play time work,17
Dan wants Kevin to buy him a sandwich on his way to work,632_0,dan kevin buy sandwich work,1
Gloria and Mell plan to have a barbeque at Mell's place on Saturday,635_0,gloria mell plan barbeque mell place saturday,20
Diane is not happy with Ross prioritising work over spending time with her,642_0,diane happy ross prioritising work spending time,17
Matt and Tony want to go to the concert of Bon Jovi next July in Poland and are planning to buy the tickets that cost 250 PLN before they’re sold out,645_0,matt tony concert bon jovi july poland planning buy tickets cost pln sold,30
 Phil will think about it and let them know,645_1,phil,0
Camila and Harper agreed to order a meal and watch a movie tonight,647_0,camila harper agreed order meal watch movie tonight,0
It took Phil a very long time to do the Christmas shopping but he probably managed to get everything,652_0,phil long time christmas shopping managed,60
 Client liked Piper's work and wants to work with her on a long-term basis,653_1,client piper work work long term basis,60
Hans asks Slade to bring the ball and come to the practice,657_0,hans asks slade bring ball practice,18
Holt asks his girlfriends some advice on a present for his sister on her 21st birthday,658_0,holt asks girlfriends advice sister birthday,18
" Treena recommends cosmetics, whereas Zula suggests DVDs or book series",658_1,treena recommends cosmetics zula suggests dvds book series,9
Miley is tired and doesn't want to work tomorrow,660_0,miley tired work tomorrow,13
Greg asks Nina to accomodate him for two days while he's on a business trip,661_0,greg asks nina accomodate days business trip,18
 They think she's great,662_1,great,0
James is heading to work so he's not watching the game,665_0,james heading work watching game,1
Jackie's sister is pregnant two years before she planned for it,674_0,jackie sister pregnant years planned,0
 He needs to attend it at least once to get the notes,675_1,attend notes,34
 Chloe wants to go to Megan tonight and the father has to work late tonight,680_1,chloe megan tonight father work late tonight,0
Mike suspects he might have had an allergic reaction to something,684_0,mike suspects allergic reaction,0
 Freddie will ask mummy to call Winnie up,693_1,freddie mummy winnie,0
 Andy will send her a quote for the work needed by Friday,695_1,andy send quote work needed friday,1
 Claire will participate in mindfulness workshop,697_1,claire participate mindfulness workshop,0
Adele is still listening to the song which Code recommended,701_0,adele listening song code recommended,44
 Home methods don't work for her,703_1,methods work,1
 Adrian did well thanks to paying attention in class,714_2,adrian paying attention class,0
Nathan is planning on buying a bike in spring,726_0,nathan planning buying bike spring,30
" Michael doesn't like his job, he thinks of quitting it and leaving London",728_2,michael job thinks quitting leaving london,12
 Kyle agrees to pick Harry up,740_3,kyle agrees pick harry,69
Greg sent Dave his notes from statistics,751_0,greg dave notes statistics,34
 Lina and Joy don't think the dresses are appropriate,753_2,lina joy dresses,0
Camilla has some errands to do on Saturday,759_0,camilla errands saturday,0
"Perry, Marlow, Janet and Forster discuss their holiday plans",764_0,perry marlow janet forster discuss holiday plans,55
" Marlow would like to go to Asia, others will think if they can join",764_1,marlow asia join,0
 The friends will meet tomorrow at 8 pm to discuss that,764_2,friends meet tomorrow discuss,40
" She is sneezing, has rashes and other allergic reactions",769_2,sneezing rashes allergic reactions,0
Mark is planning an afterparty after his wedding,770_0,mark planning afterparty wedding,30
 She has been working out at the gym for months,778_1,working gym months,2
" Mick had a plan to go to London for Halloween, but he's not going because of his grandma's health problems",779_1,mick plan london halloween grandma health problems,20
Margaret and Evans plan to meet at 10 on 4th and at 11 on 11th,784_0,margaret evans plan meet,20
Bradley is too busy at work to talk to Joanne now,785_0,bradley busy work talk joanne,1
 Gerardo will ask the people leaving early to stay in the splitwise group until the end of the month,787_3,gerardo people leaving early stay splitwise group month,56
 Fitz suggests he tries the library,789_1,fitz suggests library,27
"By looking at the photos, Archie thinks that Melanie looked nicer with curly hair",790_0,photos archie thinks melanie looked nicer curly hair,12
 Louis disagrees,790_1,louis disagrees,0
"Carly and Cindy think she is stupid, because she asked him",791_0,carly cindy stupid asked,23
Linda wants to buy flowers for her mother and asks Michael which flowers does she like,800_0,linda buy flowers mother asks michael flowers,18
 Michael suggests Linda to buy freesias,800_1,michael suggests linda buy freesias,27
 He asked Gary to do some small talk and try to delay the main presentation,801_1,asked gary small talk delay main presentation,23
Benjamin didn't come to see a basketball game on Friday's night,814_0,benjamin basketball game friday night,0
 Benjamin declares to attend the next basketball match,814_3,benjamin declares attend basketball match,0
Rachel sends a list of Top 50 films of 2018,818_0,rachel sends list films,35
Kim may try the pomodoro technique recommended by Tim to get more stuff done,821_0,kim pomodoro technique recommended tim stuff,62
Edward thinks he is in love with Bella,822_0,edward thinks love bella,12
"Sam is confused, because he overheard Rick complaining about him as a roommate",823_0,sam confused overheard rick complaining roommate,0
 Naomi thinks Sam should talk to Rick,823_1,naomi thinks sam talk rick,12
 Sam is not sure what to do,823_2,sam,0
John didn't show up for class due to some work issues with his boss,825_0,john class work issues boss,1
" Cassandra, his teacher told him which exercises to do, and which chapter to study",825_1,cassandra teacher told exercises chapter study,0
 She is ashamed to go back to work,834_2,ashamed work,1
"Laura will pick up Kim from work around 7, and they will come back home together",838_0,laura pick kim work,1
"Erin is convinced by Ashley's book recommendations, while Seamus and Marcus aren't",839_0,erin convinced ashley book recommendations seamus marcus,0
 Maverick and Aria miss the old times and think the world has changed for the worse,840_4,maverick aria times changed worse,0
 He and Julius complain about the team and Mourinho's style,844_1,julius complain team mourinho style,0
Lucia needs a new hairstyle due to a change of work and she makes an appointment with Eric for Friday 3 p,855_0,lucia hairstyle change work appointment eric friday,1
Gabriella asked Jasmine to check her CV which is in English,856_0,gabriella asked jasmine check english,23
Grace saw Ruth in Galitos but she thought it would be embarassing to get in and greet her,857_0,grace ruth galitos thought embarassing greet,4
 She plans to split it into 2 apartments,858_1,plans split apartments,55
 Jacob has suicidal thoughts,866_1,jacob suicidal thoughts,0
Julie recommends the GlamRock cream from the GlamShop,868_0,julie recommends glamrock cream glamshop,9
"Mary, Kate, Peter and John want various items for Christmas",873_0,mary kate peter john items christmas,0
"Jeff will double check Mindy's reaction, connected to her involvement in phase one of the project",874_0,jeff double check mindy reaction connected involvement phase project,0
 Flix explains that this is an operational delay,875_1,flix explains operational delay,0
 Client decides to make a formal complaint as it wasn't the first such delay,875_2,client decides formal complaint delay,0
 Aiden has been working on it for 6 months,878_1,aiden working months,2
"Oli, Jacob and Marcia have to prepare for a very hard statistics exam",879_0,oli jacob marcia prepare hard statistics exam,49
 Luke has plans but he advises Johny to install Tinder,895_1,luke plans advises johny install tinder,55
Kyle reminds Patrick about their math homework for tomorrow,897_0,kyle reminds patrick math homework tomorrow,13
 They want to finish it by Christmas but workers are permanently late,898_1,finish christmas workers permanently late,0
 Kate is looking forward for the housewarming party,898_2,kate forward housewarming party,0
"Andrew, Nicky and Rick had a hard week at work",907_0,andrew nicky rick hard week work,50
Connor is looking for a playlist from the Berlin concert,914_0,connor playlist berlin concert,0
 The thing Jeniffer likes the most in America is diversity while in Brooke's opinion it's urban splendor,915_2,thing jeniffer likes america diversity brooke opinion urban splendor,11
 Then Sandra and Gabby discuss the nature of their men and laugh about their habit of spending time in the garage or a shed,919_1,sandra gabby discuss nature men laugh habit spending time garage,40
 Sue will think of organising a party later on,926_1,sue organising party,0
 Rick had to deal with private matters,929_1,rick deal private matters,16
 He will work during lunch break today,929_2,work lunch break today,41
 They are meeting on Sunday at brunch to discuss it,933_2,meeting sunday brunch discuss,40
 Nick and Ridley recommended watching Rec,936_1,nick ridley recommended watching rec,0
"Eleonor, Tasha and Betty agree to meet up in the French place next Sunday",937_0,eleonor tasha betty agree meet french place sunday,24
Richard and Elisabeth are worried by the current rise of nationalist movements,938_0,richard elisabeth worried current rise nationalist movements,0
Nick and Angela discuss what to buy Pete for his birthday,940_0,nick angela discuss buy pete birthday,40
It is July 7th and Cindy is looking forward to Monsta-X's new album,956_0,july cindy forward monsta album,0
Lauren hates autumn but Diego doesn't complain,957_0,lauren hates autumn diego complain,0
Dora asks Dad if everyting is ok and it is,958_0,dora asks dad everyting,18
"Kate can't watch the TV, because it stopped working",961_0,kate watch stopped working,2
Diana and Marcus are grateful for hospitality and breakfasts that Leo and Yadani prepare for them,971_0,diana marcus grateful hospitality breakfasts leo yadani prepare,49
"Destiny had a fractured arm, but she is now able to prepare new things for her showcase",972_0,destiny fractured arm prepare things showcase,49
Dave has a lot of work with the report,975_0,dave lot work report,53
 Sharon requires it to be done by tomorrow as the clients want to deal with it quickly,975_1,sharon requires tomorrow clients deal,16
" Sharon can't write the conclusion of the report, as her hairdresser is coming over, so that she looks good at the meeting tomorrow",975_2,sharon write conclusion report hairdresser coming good meeting tomorrow,53
Logan likes Daisy's dress and doesn't think it looks like a bathrobe,976_0,logan likes daisy dress bathrobe,0
 Adam needs to ask Dad for uncle Joe's number,977_1,adam dad uncle joe number,0
Sara is looking for dinner ideas that would take Daniel's lactose intolerance into consideration,978_0,sara dinner ideas daniel lactose intolerance consideration,38
Shane recommended Dr,980_0,shane recommended,0
" She is off tommorow, but working on Monday from 3pm",988_1,tommorow working monday,2
Mandy and Jordan are thinking about admitting their son to primary school,990_0,mandy jordan thinking admitting son primary school,6
 Jordan will call Alex to find out his opinion and they will discuss later,990_1,jordan alex opinion discuss,40
Lily finds the place recommended to Jessie by her friend nice,992_0,lily finds place recommended jessie friend nice,0
 Lily offers to call and ask about the price they expect for 30 people there,992_1,lily offers price expect people,56
 The baby's name is not yet decided,994_1,baby decided,48
Jim and Tim are sharing a ride to work today,995_0,jim tim sharing ride work today,41
" Benjamin needs to drag the project on his own, but he'll ask Mr",1010_1,benjamin drag project,0
" Kasia, Jan, Kate and Michael think that Westfjords is beautiful",1011_1,kasia jan kate michael westfjords beautiful,0
"Nicole is a bit stressed, as she will have a job interview in Publicis",1025_0,nicole bit stressed job interview publicis,0
Renee and Sue can't stand her and think she's extremely ugly,1029_0,renee sue stand extremely ugly,0
Ashley finished their group work,1036_0,ashley finished group work,1
Phoebe's ex-boyfriend is working with Joane's husband's best friend,1039_0,phoebe boyfriend working joane husband friend,2
